name,dorsal,team,position,age,height,weight,nationality,appearances,substitute_sppearances,total_goals,assists,shots,shots_on_target,fouls_committed,fouls_suffered,yellow_cards,red_cards,ratio_goalshots,ratio_assists_appearances,ratio_total_goalss_appearances,ratio_total_fouls_committed_appearances,ratio_total_fouls_suffered_appearances,ratio_total_yellow_cards_appearances,ratio_total_red_cards_appearances
Ante Budimir,17,osasuna,F,29,"1,92",73.35000000000001,Croatia,29,11,11,0,47,21,27,31,3,0,0.5238095238095238,0.0,0.3793103448275862,0.9310344827586207,1.0689655172413792,0.10344827586206896,0.0
Enric Gallego,19,osasuna,F,34,"1,92",86.4,Spain,21,14,0,2,13,4,26,11,1,0,0.0,0.09523809523809523,0.0,1.2380952380952381,0.5238095238095238,0.047619047619047616,0.0
Adrián ,20,osasuna,F,33,"1,82",72.45,Spain,17,12,1,1,10,3,4,4,0,0,0.3333333333333333,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.23529411764705882,0.0,0.0
Martín Montoya,2,real-betis,D,30,"1,79",72.45,Spain,5,3,0,0,2,0,3,1,0,1,0.0,0.0,0.0,0.6,0.2,0.0,0.2
Marc Bartra,5,real-betis,D,30,"1,55",68.4,Spain,18,0,0,0,10,4,27,14,3,0,0.0,0.0,0.0,1.5,0.7777777777777778,0.16666666666666666,0.0
Víctor Ruiz,6,real-betis,D,33,"1,85",77.4,Spain,26,3,1,0,4,4,23,5,8,0,0.25,0.0,0.038461538461538464,0.8846153846153846,0.19230769230769232,0.3076923076923077,0.0
Sidnei ,12,real-betis,D,31,"1,85",78.3,Brazil,11,4,0,0,1,0,7,8,1,0,0.0,0.0,0.0,0.6363636363636364,0.7272727272727273,0.09090909090909091,0.0
Álex Moreno,15,real-betis,D,27,"1,55",67.5,Spain,22,2,0,2,11,3,18,22,3,0,0.0,0.09090909090909091,0.0,0.8181818181818182,1.0,0.13636363636363635,0.0
Emerson ,22,real-betis,D,22,"1,85",68.4,Brazil,33,0,1,4,10,2,54,68,9,1,0.5,0.12121212121212122,0.030303030303030304,1.6363636363636365,2.0606060606060606,0.2727272727272727,0.030303030303030304
Aïssa Mandi,23,real-betis,D,29,"1,82",77.4,Algeria,28,1,3,1,9,8,20,13,5,2,0.375,0.03571428571428571,0.10714285714285714,0.7142857142857143,0.4642857142857143,0.17857142857142858,0.07142857142857142
Francisco Delgado,32,real-betis,D,19,0,0.0,Spain,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Juan Miranda,33,real-betis,D,21,"1,85",70.65,Spain,21,4,1,2,9,2,20,20,4,0,0.5,0.09523809523809523,0.047619047619047616,0.9523809523809523,0.9523809523809523,0.19047619047619047,0.0
Geovanni Barba,37,real-betis,D,20,0,0.0,Spain,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Víctor Camarasa,3,real-betis,M,26,"1,82",75.60000000000001,Spain,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Paul Akouokou,4,real-betis,M,23,"1,92",0.0,Ivory Coast,10,6,0,0,0,0,12,2,3,1,0.0,0.0,0.0,1.2,0.2,0.3,0.1
Sergio Canales,10,real-betis,M,30,"1,79",63.45,Spain,31,3,8,6,46,12,16,21,4,0,0.6666666666666666,0.1935483870967742,0.25806451612903225,0.5161290322580645,0.6774193548387096,0.12903225806451613,0.0
William Carvalho,14,real-betis,M,29,"1,85",77.4,Portugal,26,14,2,0,15,6,18,10,5,1,0.3333333333333333,0.0,0.07692307692307693,0.6923076923076923,0.38461538461538464,0.19230769230769232,0.038461538461538464
Joaquín ,17,real-betis,M,39,"1,55",73.35000000000001,Spain,27,11,2,5,10,5,10,12,2,0,0.4,0.18518518518518517,0.07407407407407407,0.37037037037037035,0.4444444444444444,0.07407407407407407,0.0
Andrés Guardado,18,real-betis,M,34,"1,73",66.60000000000001,Mexico,23,7,1,0,9,5,19,10,3,0,0.2,0.0,0.043478260869565216,0.8260869565217391,0.43478260869565216,0.13043478260869565,0.0
Diego Lainez,20,real-betis,M,20,"1,70",57.6,Mexico,20,12,0,2,13,4,12,25,4,0,0.0,0.1,0.0,0.6,1.25,0.2,0.0
Guido Rodríguez,21,real-betis,M,27,"1,85",77.4,Argentina,34,1,1,0,29,9,54,46,9,0,0.1111111111111111,0.0,0.029411764705882353,1.588235294117647,1.3529411764705883,0.2647058823529412,0.0
