name,dorsal,team,position,age,height,weight,nationality,appearances,substitute_sppearances,total_goals,assists,shots,shots_on_target,fouls_committed,fouls_suffered,yellow_cards,red_cards,ratio_goalshots,ratio_assists_appearances,ratio_total_goalss_appearances,ratio_total_fouls_committed_appearances,ratio_total_fouls_suffered_appearances,ratio_total_yellow_cards_appearances,ratio_total_red_cards_appearances
Martín Zubimendi,36,real-sociedad,M,22,"1,55",72.45,Spain,30,14,0,0,6,0,36,17,6,0,0.0,0.0,0.0,1.2,0.5666666666666667,0.2,0.0
Jon Ander Olasagasti,38,real-sociedad,M,20,"1,79",72.45,Spain,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Portu ,7,real-sociedad,F,28,"1,55",68.4,Spain,36,13,8,3,32,11,31,25,3,0,0.7272727272727273,0.08333333333333333,0.2222222222222222,0.8611111111111112,0.6944444444444444,0.08333333333333333,0.0
Carlos Fernández,9,real-sociedad,F,24,"1,85",71.55,Spain,15,9,1,2,8,5,22,16,5,0,0.2,0.13333333333333333,0.06666666666666667,1.4666666666666666,1.0666666666666667,0.3333333333333333,0.0
Mikel Oyarzabal,10,real-sociedad,F,24,"1,55",77.4,Spain,32,3,11,8,59,26,23,38,1,0,0.4230769230769231,0.25,0.34375,0.71875,1.1875,0.03125,0.0
Martín Merquelanz,17,real-sociedad,F,25,"1,79",71.55,Spain,13,9,0,1,11,4,4,13,0,0,0.0,0.07692307692307693,0.0,0.3076923076923077,1.0,0.0,0.0
Alexander Isak,19,real-sociedad,F,21,"1,92",68.4,Sweden,33,4,16,2,77,38,23,33,4,0,0.42105263157894735,0.06060606060606061,0.48484848484848486,0.696969696969697,1.0,0.12121212121212122,0.0
Ander Barrenetxea,22,real-sociedad,F,19,"1,55",73.35000000000001,Spain,30,17,3,0,23,7,38,20,7,0,0.42857142857142855,0.0,0.1,1.2666666666666666,0.6666666666666666,0.23333333333333334,0.0
Jon Bautista,25,real-sociedad,F,25,"1,55",71.55,Spain,21,21,0,1,12,3,10,6,3,0,0.0,0.047619047619047616,0.0,0.47619047619047616,0.2857142857142857,0.14285714285714285,0.0
Roberto López,28,real-sociedad,F,21,"1,55",68.4,Spain,16,12,3,0,14,5,2,5,0,0,0.6,0.0,0.1875,0.125,0.3125,0.0,0.0
Julen Lobete,35,real-sociedad,F,20,0,0.0,Spain,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Raúl García,0,real-valladolid,D,32,"1,79",71.55,Spain,8,3,1,0,3,3,5,8,2,0,0.3333333333333333,0.0,0.125,0.625,1.0,0.25,0.0
Luis Pérez,2,real-valladolid,D,26,"1,76",67.5,Spain,22,7,0,0,2,0,15,16,1,0,0.0,0.0,0.0,0.6818181818181818,0.7272727272727273,0.045454545454545456,0.0
Kiko ,4,real-valladolid,D,32,"1,82",75.60000000000001,Spain,4,4,0,0,0,0,1,1,1,0,0.0,0.0,0.0,0.25,0.25,0.25,0.0
Javi Sánchez,5,real-valladolid,D,24,"1,85",70.65,Spain,16,5,0,0,3,0,6,2,3,0,0.0,0.0,0.0,0.375,0.125,0.1875,0.0
Bruno ,6,real-valladolid,D,30,"1,85",82.35000000000001,Spain,27,2,1,0,4,2,30,16,8,0,0.5,0.0,0.037037037037037035,1.1111111111111112,0.5925925925925926,0.2962962962962963,0.0
Jawad El Yamiq,15,real-valladolid,D,29,"1,92",82.35000000000001,Morocco,18,4,0,1,6,2,11,14,5,0,0.0,0.05555555555555555,0.0,0.6111111111111112,0.7777777777777778,0.2777777777777778,0.0
Saidy Janko,18,real-valladolid,D,25,"1,55",82.35000000000001,Switzerland,18,5,0,1,3,1,14,2,4,0,0.0,0.05555555555555555,0.0,0.7777777777777778,0.1111111111111111,0.2222222222222222,0.0
Nacho Martínez,22,real-valladolid,D,32,"1,79",62.550000000000004,Spain,23,2,0,1,8,1,14,22,3,1,0.0,0.043478260869565216,0.0,0.6086956521739131,0.9565217391304348,0.13043478260869565,0.043478260869565216
Lucas Olaza,25,real-valladolid,D,26,"1,76",67.5,Uruguay,31,0,1,3,19,4,26,31,8,0,0.25,0.0967741935483871,0.03225806451612903,0.8387096774193549,1.0,0.25806451612903225,0.0
Ignasi Vilarrasa,28,real-valladolid,D,24,"1,55",80.55,Spain,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Miguel Ángel Rubio,30,real-valladolid,D,23,"1,92",85.5,Spain,2,1,0,0,1,0,2,1,0,0,0.0,0.0,0.0,1.0,0.5,0.0,0.0
Francisco Álvarez,32,real-valladolid,D,21,"1,55",0.0,Argentina,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Sergio López,34,real-valladolid,D,22,"1,55",71.55,Spain,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Lucas Freitas,43,real-valladolid,D,20,"1,82",73.35000000000001,Brazil,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Jesús Martínez,45,real-valladolid,D,19,0,0.0,Spain,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kike Perez,8,real-valladolid,M,24,"1,82",78.3,Spain,23,11,0,0,15,4,31,26,3,0,0.0,0.0,0.0,1.3478260869565217,1.1304347826086956,0.13043478260869565,0.0
Pablo Hervías,11,real-valladolid,M,28,"1,79",67.5,Spain,26,16,0,5,14,7,8,16,1,0,0.0,0.19230769230769232,0.0,0.3076923076923077,0.6153846153846154,0.038461538461538464,0.0
Fabián Orellana,12,real-valladolid,M,35,"1,70",62.550000000000004,Chile,30,3,6,2,30,16,22,57,5,0,0.375,0.06666666666666667,0.2,0.7333333333333333,1.9,0.16666666666666666,0.0
Rubén Alcaraz,14,real-valladolid,M,30,"1,55",77.4,Spain,30,5,1,0,28,2,47,44,10,0,0.5,0.0,0.03333333333333333,1.5666666666666667,1.4666666666666666,0.3333333333333333,0.0
Roque Mesa,17,real-valladolid,M,31,"1,76",72.45,Spain,24,4,1,0,27,5,27,35,4,1,0.2,0.0,0.041666666666666664,1.125,1.4583333333333333,0.16666666666666666,0.041666666666666664
Toni Villa,19,real-valladolid,M,26,"1,76",62.550000000000004,Spain,20,11,2,0,14,4,16,31,2,0,0.5,0.0,0.1,0.8,1.55,0.1,0.0
Fede ,20,real-valladolid,M,24,"1,79",67.5,Spain,23,7,0,0,3,0,38,17,6,0,0.0,0.0,0.0,1.6521739130434783,0.7391304347826086,0.2608695652173913,0.0
Míchel ,21,real-valladolid,M,32,"1,82",67.5,Spain,21,11,2,0,10,4,15,9,2,0,0.5,0.0,0.09523809523809523,0.7142857142857143,0.42857142857142855,0.09523809523809523,0.0
Joaquín ,24,real-valladolid,M,24,"1,92",68.4,Spain,25,1,1,0,8,3,28,13,8,0,0.3333333333333333,0.0,0.04,1.12,0.52,0.32,0.0
Orio Rey,29,real-valladolid,M,23,"1,55",0.0,Spain,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Moukhliss,35,real-valladolid,M,21,"1,70",66.60000000000001,Spain,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Kenan Kodro,3,real-valladolid,F,27,"1,88",77.4,Bosnia and Herzegovina,17,13,1,0,8,3,8,7,3,0,0.3333333333333333,0.0,0.058823529411764705,0.47058823529411764,0.4117647058823529,0.17647058823529413,0.0
Sergi Guardiola,7,real-valladolid,F,29,"1,85",77.4,Spain,28,9,1,2,35,11,39,39,5,0,0.09090909090909091,0.07142857142857142,0.03571428571428571,1.3928571428571428,1.3928571428571428,0.17857142857142858,0.0
Shon Weissman,9,real-valladolid,F,25,"1,79",71.55,Israel,31,8,6,1,38,15,27,16,3,0,0.4,0.03225806451612903,0.1935483870967742,0.8709677419354839,0.5161290322580645,0.0967741935483871,0.0
Óscar Plano,10,real-valladolid,F,30,"1,55",71.55,Spain,35,6,4,5,41,9,41,58,1,1,0.4444444444444444,0.14285714285714285,0.11428571428571428,1.1714285714285715,1.6571428571428573,0.02857142857142857,0.02857142857142857
Marcos de Sousa,16,real-valladolid,F,24,"1,82",77.4,Brazil,22,12,4,0,31,12,24,25,2,0,0.3333333333333333,0.0,0.18181818181818182,1.0909090909090908,1.1363636363636365,0.09090909090909091,0.0
Waldo Rubio,23,real-valladolid,F,25,"1,55",78.3,Spain,10,5,1,0,9,2,8,2,1,0,0.5,0.0,0.1,0.8,0.2,0.1,0.0
Kuki Zalazar,27,real-valladolid,F,23,"1,79",72.45,Spain,2,2,0,1,0,0,1,0,0,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Jota ,40,real-valladolid,F,22,"1,79",58.5,Portugal,16,9,1,0,12,6,5,9,1,0,0.16666666666666666,0.0,0.0625,0.3125,0.5625,0.0625,0.0
Sergio Benito,41,real-valladolid,F,22,"1,55",0.0,Spain,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joris Gnagnon,2,sevilla-fc,D,24,"1,82",87.3,France,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Sergi Gómez,3,sevilla-fc,D,29,"1,85",78.3,Spain,9,0,0,0,1,0,1,1,2,0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.0
Karim Rekik,4,sevilla-fc,D,26,"1,85",82.35000000000001,Netherlands,10,5,0,0,2,0,15,4,2,0,0.0,0.0,0.0,1.5,0.4,0.2,0.0
Jules Koundé,12,sevilla-fc,D,22,"1,55",68.4,France,33,1,2,1,21,6,20,22,4,0,0.3333333333333333,0.030303030303030304,0.06060606060606061,0.6060606060606061,0.6666666666666666,0.12121212121212122,0.0
Jesús Navas,16,sevilla-fc,D,35,"1,73",58.5,Spain,34,0,0,6,15,2,10,19,4,0,0.0,0.17647058823529413,0.0,0.29411764705882354,0.5588235294117647,0.11764705882352941,0.0
Aleix Vidal,17,sevilla-fc,D,31,"1,55",68.4,Spain,11,7,0,1,1,0,4,14,1,0,0.0,0.09090909090909091,0.0,0.36363636363636365,1.2727272727272727,0.09090909090909091,0.0
Sergio Escudero,18,sevilla-fc,D,31,"1,79",63.45,Spain,8,2,1,0,5,1,8,7,3,0,1.0,0.0,0.125,1.0,0.875,0.375,0.0
Marcos Acuña,19,sevilla-fc,D,29,"1,76",67.5,Argentina,30,4,1,2,18,2,44,32,5,0,0.5,0.06666666666666667,0.03333333333333333,1.4666666666666666,1.0666666666666667,0.16666666666666666,0.0
Diego Carlos,20,sevilla-fc,D,28,"1,85",77.4,Brazil,33,1,1,0,15,5,48,19,10,1,0.2,0.0,0.030303030303030304,1.4545454545454546,0.5757575757575758,0.30303030303030304,0.030303030303030304
Pablo Pérez Rico,26,sevilla-fc,D,19,0,0.0,Spain,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Enrique Rios,37,sevilla-fc,D,21,"1,88",0.0,Spain,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Carlos Alvarez,0,sevilla-fc,M,17,"1,55",71.55,Spain,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Juanlu Sanchez,0,sevilla-fc,M,17,0,0.0,Spain,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lucas Ocampos,5,sevilla-fc,M,26,"1,88",82.35000000000001,Argentina,33,4,5,4,67,21,31,76,3,0,0.23809523809523808,0.12121212121212122,0.15151515151515152,0.9393939393939394,2.303030303030303,0.09090909090909091,0.0
Nemanja Gudelj,6,sevilla-fc,M,29,"1,88",86.4,Serbia,29,20,0,0,8,1,19,7,8,0,0.0,0.0,0.0,0.6551724137931034,0.2413793103448276,0.27586206896551724,0.0
Suso ,7,sevilla-fc,M,27,"1,55",68.4,Spain,33,6,3,4,46,17,23,37,2,0,0.17647058823529413,0.12121212121212122,0.09090909090909091,0.696969696969697,1.121212121212121,0.06060606060606061,0.0
Joan Jordán,8,sevilla-fc,M,26,"1,82",72.45,Spain,34,7,1,6,24,3,52,42,6,1,0.3333333333333333,0.17647058823529413,0.029411764705882353,1.5294117647058822,1.2352941176470589,0.17647058823529413,0.029411764705882353
Ivan Rakitic,10,sevilla-fc,M,33,"1,82",77.4,Croatia,36,11,4,2,41,10,32,24,5,0,0.4,0.05555555555555555,0.1111111111111111,0.8888888888888888,0.6666666666666666,0.1388888888888889,0.0
Óscar Rodríguez,14,sevilla-fc,M,22,"1,79",66.60000000000001,Spain,19,15,0,0,9,1,12,10,1,0,0.0,0.0,0.0,0.631578947368421,0.5263157894736842,0.05263157894736842,0.0
Óliver Torres,21,sevilla-fc,M,26,"1,79",62.550000000000004,Spain,32,17,0,2,11,3,20,17,2,0,0.0,0.0625,0.0,0.625,0.53125,0.0625,0.0
Franco Vázquez,22,sevilla-fc,M,32,"1,88",81.45,Argentina,14,14,1,0,3,1,5,5,1,0,1.0,0.0,0.07142857142857142,0.35714285714285715,0.35714285714285715,0.07142857142857142,0.0
Alejandro Gómez,24,sevilla-fc,M,33,"1,67",67.5,Argentina,17,6,2,1,16,9,14,22,0,0,0.2222222222222222,0.058823529411764705,0.11764705882352941,0.8235294117647058,1.2941176470588236,0.0,0.0
Fernando ,25,sevilla-fc,M,33,"1,82",75.60000000000001,Brazil,31,3,3,4,6,4,39,16,6,0,0.75,0.12903225806451613,0.0967741935483871,1.2580645161290323,0.5161290322580645,0.1935483870967742,0.0
Antonio Zarzana,30,sevilla-fc,M,19,0,0.0,Spain,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Iván Romero,0,sevilla-fc,F,20,"1,76",0.0,Spain,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Luuk de Jong,9,sevilla-fc,F,30,"1,88",78.3,Netherlands,33,19,4,0,34,12,20,32,3,0,0.3333333333333333,0.0,0.12121212121212122,0.6060606060606061,0.9696969696969697,0.09090909090909091,0.0
Munir El Haddadi,11,sevilla-fc,F,25,"1,79",67.5,Spain,24,15,4,2,31,12,20,28,2,0,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.8333333333333334,1.1666666666666667,0.08333333333333333,0.0
Youssef En-Nesyri,15,sevilla-fc,F,23,"1,88",72.45,Morocco,37,15,18,0,73,28,24,34,2,0,0.6428571428571429,0.0,0.4864864864864865,0.6486486486486487,0.918918918918919,0.05405405405405406,0.0
Thierry Correia,2,valencia,D,22,"1,79",63.45,Portugal,28,4,1,1,8,2,29,38,4,1,0.5,0.03571428571428571,0.03571428571428571,1.0357142857142858,1.3571428571428572,0.14285714285714285,0.03571428571428571
Toni Lato,3,valencia,D,23,"1,73",62.550000000000004,Spain,14,7,1,0,2,2,11,5,2,0,0.5,0.0,0.07142857142857142,0.7857142857142857,0.35714285714285715,0.14285714285714285,0.0
Eliaquim Mangala,4,valencia,D,30,"1,88",82.35000000000001,France,6,2,0,0,2,0,5,2,1,0,0.0,0.0,0.0,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.0
Gabriel ,5,valencia,D,30,"1,85",71.55,Brazil,30,0,4,1,14,6,18,26,6,0,0.6666666666666666,0.03333333333333333,0.13333333333333333,0.6,0.8666666666666667,0.2,0.0
Ferro ,6,valencia,D,24,"1,92",71.55,Portugal,3,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mouctar Diakhaby,12,valencia,D,24,"1,88",77.4,France,25,2,1,0,10,4,19,8,4,1,0.25,0.0,0.04,0.76,0.32,0.16,0.04
José Gayà,14,valencia,D,25,"1,76",65.7,Spain,33,1,1,7,25,5,28,30,6,0,0.2,0.21212121212121213,0.030303030303030304,0.8484848484848485,0.9090909090909091,0.18181818181818182,0.0
Hugo Guillamón,15,valencia,D,21,"1,55",61.65,Spain,24,4,1,0,9,3,32,24,7,0,0.3333333333333333,0.0,0.041666666666666664,1.3333333333333333,1.0,0.2916666666666667,0.0
Cristiano Piccini,24,valencia,D,28,"1,82",76.5,Italy,3,3,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Sibille,29,valencia,D,22,"1,82",73.35000000000001,Argentina,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Guillem Molina,31,valencia,D,21,"1,82",70.65,Spain,2,1,0,0,0,0,3,2,1,0,0.0,0.0,0.0,1.5,1.0,0.5,0.0
Jesús Vázquez,32,valencia,D,26,"1,82",77.4,Mexico,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Gonçalo Guedes,7,valencia,M,24,"1,55",67.5,Portugal,30,4,5,6,50,14,26,63,3,1,0.35714285714285715,0.2,0.16666666666666666,0.8666666666666667,2.1,0.1,0.03333333333333333
Carlos Soler,8,valencia,M,24,"1,55",75.60000000000001,Spain,31,1,11,8,35,17,26,35,7,0,0.6470588235294118,0.25806451612903225,0.3548387096774194,0.8387096774193549,1.1290322580645162,0.22580645161290322,0.0
Christian Oliva,10,valencia,M,24,"1,55",76.5,Uruguay,9,8,0,2,2,1,3,3,0,0,0.0,0.2222222222222222,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
Denis Cheryshev,17,valencia,M,30,"1,55",72.45,Russia,20,7,0,3,20,6,25,14,3,0,0.0,0.15,0.0,1.25,0.7,0.15,0.0
Daniel Wass,18,valencia,M,31,"1,55",72.45,Denmark,35,0,4,1,38,12,36,33,8,0,0.3333333333333333,0.02857142857142857,0.11428571428571428,1.0285714285714285,0.9428571428571428,0.22857142857142856,0.0
Uros Racic,19,valencia,M,23,"1,95",80.55,Serbia,30,6,1,1,33,10,41,25,6,0,0.1,0.03333333333333333,0.03333333333333333,1.3666666666666667,0.8333333333333334,0.2,0.0
Kang-In Lee,20,valencia,M,20,"1,76",67.5,South Korea,23,9,0,4,21,4,14,39,1,0,0.0,0.17391304347826086,0.0,0.6086956521739131,1.6956521739130435,0.043478260869565216,0.0
Jason ,23,valencia,M,26,"1,55",63.45,Spain,17,13,0,0,5,0,6,15,2,1,0.0,0.0,0.0,0.35294117647058826,0.8823529411764706,0.11764705882352941,0.058823529411764705
Vicente Esquerdo,26,valencia,M,22,"1,82",73.35000000000001,Spain,4,1,0,0,1,0,3,0,1,0,0.0,0.0,0.0,0.75,0.0,0.25,0.0
Koba Koindredi,27,valencia,M,19,0,0.0,France,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yunus Musah,30,valencia,M,18,"1,55",0.0,United States,31,14,1,0,6,2,19,29,2,0,0.5,0.0,0.03225806451612903,0.6129032258064516,0.9354838709677419,0.06451612903225806,0.0
Kevin Gameiro,9,valencia,F,34,"1,76",68.4,France,27,17,4,1,16,7,9,8,0,0,0.5714285714285714,0.037037037037037035,0.14814814814814814,0.3333333333333333,0.2962962962962963,0.0,0.0
Patrick Cutrone,11,valencia,F,23,"1,82",73.35000000000001,Italy,7,7,0,0,3,1,2,1,0,0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0
Alexis Blanco,16,valencia,F,32,"1,85",82.35000000000001,Argentina,13,7,1,0,7,2,4,8,1,0,0.5,0.0,0.07692307692307693,0.3076923076923077,0.6153846153846154,0.07692307692307693,0.0
Manu Vallejo,21,valencia,F,24,"1,70",71.55,Spain,29,20,5,0,19,14,14,20,2,0,0.35714285714285715,0.0,0.1724137931034483,0.4827586206896552,0.6896551724137931,0.06896551724137931,0.0
Maxi Gómez,22,valencia,F,24,"1,85",90.45,Uruguay,30,0,7,1,52,23,51,70,6,1,0.30434782608695654,0.03333333333333333,0.23333333333333334,1.7,2.3333333333333335,0.2,0.03333333333333333
Mario ,2,villarreal,D,30,"1,82",72.45,Spain,23,3,0,2,16,3,18,9,3,1,0.0,0.08695652173913043,0.0,0.782608695652174,0.391304347826087,0.13043478260869565,0.043478260869565216
Raúl Albiol,3,villarreal,D,35,"1,88",72.45,Spain,34,0,0,0,8,1,13,16,7,0,0.0,0.0,0.0,0.38235294117647056,0.47058823529411764,0.20588235294117646,0.0
Pau Torres,4,villarreal,D,24,"1,92",78.3,Spain,32,0,2,2,9,3,13,15,2,0,0.6666666666666666,0.0625,0.0625,0.40625,0.46875,0.0625,0.0
Ramiro Funes Mori,6,villarreal,D,30,"1,85",77.4,Argentina,10,2,0,0,4,1,7,3,1,0,0.0,0.0,0.0,0.7,0.3,0.1,0.0
Juan Foyth,8,villarreal,D,23,"1,55",67.5,Argentina,16,3,0,0,1,0,19,14,5,0,0.0,0.0,0.0,1.1875,0.875,0.3125,0.0
Pervis Estupiñán,15,villarreal,D,23,"1,79",72.45,Ecuador,25,13,0,0,10,5,23,20,1,0,0.0,0.0,0.0,0.92,0.8,0.04,0.0
Alberto Moreno,18,villarreal,D,28,"1,73",63.45,Spain,5,3,0,0,4,0,3,3,0,0,0.0,0.0,0.0,0.6,0.6,0.0,0.0
Jaume Costa,21,villarreal,D,33,"1,73",61.65,Spain,14,11,0,1,2,0,7,9,1,0,0.0,0.07142857142857142,0.0,0.5,0.6428571428571429,0.07142857142857142,0.0
José Manuel Cabrera,27,villarreal,D,19,0,0.0,Spain,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Andrei Ratiu,44,villarreal,D,22,"1,82",0.0,Romania,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Dani Parejo,5,villarreal,M,32,"1,82",72.45,Spain,35,0,3,4,27,8,32,58,5,0,0.375,0.11428571428571428,0.08571428571428572,0.9142857142857143,1.6571428571428573,0.14285714285714285,0.0
Vicente Iborra,10,villarreal,M,33,"1,92",90.45,Spain,13,3,0,0,3,0,15,8,4,0,0.0,0.0,0.0,1.1538461538461537,0.6153846153846154,0.3076923076923077,0.0
Samuel Chukwueze,11,villarreal,M,21,"1,76",68.4,Nigeria,28,15,4,2,32,10,12,30,0,0,0.4,0.07142857142857142,0.14285714285714285,0.42857142857142855,1.0714285714285714,0.0,0.0
Manu Trigueros,14,villarreal,M,29,"1,55",73.35000000000001,Spain,34,5,1,7,27,7,53,38,6,1,0.14285714285714285,0.20588235294117646,0.029411764705882353,1.5588235294117647,1.1176470588235294,0.17647058823529413,0.029411764705882353
Francis Coquelin,19,villarreal,M,30,"1,79",72.45,France,21,14,0,0,4,0,16,16,4,0,0.0,0.0,0.0,0.7619047619047619,0.7619047619047619,0.19047619047619047,0.0
Rubén Peña,20,villarreal,M,29,"1,73",63.45,Spain,18,6,1,1,6,2,21,17,1,0,0.5,0.05555555555555555,0.05555555555555555,1.1666666666666667,0.9444444444444444,0.05555555555555555,0.0
Moi Gómez,23,villarreal,M,26,"1,79",70.65,Spain,34,5,4,0,23,11,20,33,1,0,0.36363636363636365,0.0,0.11764705882352941,0.5882352941176471,0.9705882352941176,0.029411764705882353,0.0
Alfonso Pedraza,24,villarreal,M,25,"1,82",72.45,Spain,28,5,1,2,24,9,40,23,8,0,0.1111111111111111,0.07142857142857142,0.03571428571428571,1.4285714285714286,0.8214285714285714,0.2857142857142857,0.0
Étienne Capoue,25,villarreal,M,32,"1,88",78.3,France,15,1,1,0,7,3,25,21,5,1,0.3333333333333333,0.0,0.06666666666666667,1.6666666666666667,1.4,0.3333333333333333,0.06666666666666667
Carlo Adriano García,28,villarreal,M,20,0,0.0,Spain,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Sergio Lozano,28,villarreal,M,22,"1,79",68.4,Spain,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
Álex Baena,32,villarreal,M,19,0,0.0,Spain,6,4,0,0,2,1,2,4,0,0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
Gerard Moreno,7,villarreal,F,29,"1,55",76.5,Spain,32,3,23,6,98,47,39,59,3,0,0.48936170212765956,0.1875,0.71875,1.21875,1.84375,0.09375,0.0
Carlos Bacca,9,villarreal,F,34,"1,55",76.5,Colombia,22,14,5,0,19,11,9,6,1,0,0.45454545454545453,0.0,0.22727272727272727,0.4090909090909091,0.2727272727272727,0.045454545454545456,0.0
Raba ,12,villarreal,F,25,"1,82",75.60000000000001,Spain,4,3,0,0,5,1,3,7,0,0,0.0,0.0,0.0,0.75,1.75,0.0,0.0
Paco Alcácer,17,villarreal,F,27,"1,79",70.65,Spain,26,7,6,4,37,19,6,8,0,0,0.3157894736842105,0.15384615384615385,0.23076923076923078,0.23076923076923078,0.3076923076923077,0.0,0.0
Yeremi Pino,30,villarreal,F,18,"1,76",0.0,Spain,23,18,2,1,10,4,19,14,4,0,0.5,0.043478260869565216,0.08695652173913043,0.8260869565217391,0.6086956521739131,0.17391304347826086,0.0
Fernando Niño,34,villarreal,F,20,0,0.0,Spain,17,9,3,0,14,7,6,14,1,0,0.42857142857142855,0.0,0.17647058823529413,0.35294117647058826,0.8235294117647058,0.058823529411764705,0.0
Álex Millán,40,villarreal,F,21,0,0.0,Spain,1,1,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
